date,close,high,low,open,volume
2011/5/2,24.98776627,25.31884528,24.95872468,25.12135936,2103900
2011/5/3,24.9083786,24.93935895,24.60828,24.92386878,2029200
2011/5/4,24.76317215,24.9490432,24.53664465,24.93355302,2325900
2011/5/5,24.19395065,24.59666871,24.145548,24.59666871,2652900
2011/5/6,24.44758797,24.83868677,24.33141937,24.67024241,2788200
2011/5/9,24.61602402,24.70314877,24.31785975,24.39530398,2389800
2011/5/10,24.85029602,24.9296768,24.69540535,24.81544479,2450100
2011/5/11,24.43596458,24.87546815,24.28688133,24.72832144,2060100
2011/5/12,24.7883358,24.87933364,24.27138812,24.39917373,1926000
2011/5/13,24.64119148,24.86771894,24.53276913,24.80963577,2113200
2011/5/16,24.57730293,24.92193555,24.43790242,24.51921975,1890600
2011/5/17,24.41273308,24.52696511,24.09908079,24.38756459,2745600
2011/5/18,24.60440254,24.62957103,24.24815295,24.4495119,1508100
2011/5/19,24.59860229,24.69928291,24.39530894,24.66636822,2337900
2011/5/20,24.3623867,24.69927526,24.33334512,24.49017232,2030700
2011/5/23,23.89384842,24.1145685,23.66925746,24.05841965,2277900
2011/5/24,23.88417053,24.0990832,23.72540893,23.94999992,1609200
2011/5/25,23.96547699,24.04485997,23.61503704,23.7234616,1750800
2011/5/26,24.22879982,24.29269265,23.6285981,23.84544507,2452200
2011/5/27,24.54245567,24.55407275,24.24622568,24.35852338,2137800
2011/5/31,25.08844185,25.19299334,24.8967656,24.8967656,4389300
2011/6/1,24.21524048,25.024545,24.19975252,25.02067411,3970800
2011/6/2,24.27526093,24.43596123,23.93643802,24.18039219,4029600
2011/6/3,24.02744102,24.24041488,23.71572311,23.8880383,2706900
2011/6/6,23.61116791,24.05841316,23.59180685,23.93643718,2874600
2011/6/7,23.7118454,23.996456,23.67699417,23.77186511,2161200
2011/6/8,23.67699623,23.99258721,23.63440102,23.91126988,2579100
2011/6/9,23.90546227,24.13392629,23.67893479,23.72927398,2387400
2011/6/10,23.6014843,23.81446033,23.39044703,23.76024805,3043800
2011/6/13,23.75638962,23.88417309,23.51049878,23.62666738,2018100
2011/6/14,24.39723969,24.42240817,24.03130952,24.07777783,2955900
2011/6/15,23.78155708,24.23461218,23.62860291,24.19008262,3683100
2011/6/16,23.93063354,24.00614344,23.72927455,23.82220896,2790600
2011/6/17,24.08164978,24.35851866,23.95192981,24.19007436,2252100
2011/6/20,24.07003593,24.22105575,23.90740126,24.01195276,2403000
2011/6/21,24.45918465,24.64892646,24.19974262,24.24233781,2762400
2011/6/22,24.17071342,24.51147291,24.16296723,24.3256041,2120100
2011/6/23,24.03132057,24.06810837,23.62086067,23.85125912,2883300
2011/6/24,23.84156799,24.13392482,23.69055042,24.04292697,3469200
2011/6/27,24.23847389,24.3023667,23.78929211,23.86673633,2071500
2011/6/28,24.57215881,24.57215881,24.20937728,24.37233735,1680600
2011/6/29,25.08043671,25.23563728,24.73317418,24.74287408,3036000
2011/6/30,25.47038269,25.54022241,24.94852191,25.2007215,3215100
2011/7/1,26.04656219,26.08924263,25.34621806,25.35009891,3094200
2011/7/5,26.05432892,26.25026956,25.83510763,26.04850987,2809800
2011/7/6,26.13386536,26.19012655,25.72840559,25.93986516,2542500
2011/7/7,26.62857056,26.68676995,26.35114988,26.41710875,3354300
2011/7/8,26.593647,26.59558743,26.12028574,26.20564662,3309900
2011/7/11,25.56156158,26.29488635,25.48008155,26.10864563,3347100
2011/7/12,25.48396873,25.90301156,25.44710734,25.51112801,2629800
2011/7/13,25.46067619,25.85255734,25.40247681,25.69541857,2572200
2011/7/14,25.27445221,25.69349512,25.14447262,25.55769426,2004600
2011/7/15,25.28220367,25.46262536,24.98732361,25.37532404,2330400
2011/7/18,24.88643837,25.2278819,24.61483677,25.12312122,1934400
2011/7/19,25.29966736,25.31130768,24.97568535,25.05134413,1936500
2011/7/20,25.35203934,25.60036026,25.22981708,25.4858997,1991700
2011/7/21,26.15521049,26.20371222,25.55768862,25.58096927,2888400
2011/7/22,25.90106583,26.23086683,25.84286421,26.09700645,1630200
2011/7/25,25.77884674,25.90106903,25.49754742,25.49754742,1369200
2011/7/26,25.76526642,25.93598598,25.53634524,25.83122529,1755600
2011/7/27,24.62454224,25.59842639,24.54305997,25.56156499,2956500
2011/7/28,25.10759735,25.54992067,24.68467605,24.68855468,3614700
2011/7/29,24.63035202,25.01059283,24.54111253,24.87867291,4052100
2011/8/1,24.52947807,25.0571601,24.27339764,24.92329972,4308900
2011/8/2,23.73213387,24.79719777,23.69527248,24.34905538,4771500
2011/8/3,24.23071861,24.29086066,23.47411532,23.79421645,3125700
2011/8/4,22.80675125,23.93777633,22.75243049,23.8194349,4089300
2011/8/5,22.82614899,23.35383099,21.93374505,23.24325126,6567000
2011/8/8,20.68631744,22.41680683,20.60289921,21.87942491,8448000
2011/8/9,22.37218285,22.38770401,20.67661689,21.24891746,7348800
2011/8/10,21.23146629,21.94151057,21.02194489,21.61558813,8070000
2011/8/11,22.43815231,22.73691325,21.14804556,21.48754652,4723200
2011/8/12,22.44202805,22.95225069,22.24026616,22.73690806,3220800
2011/8/15,22.48859596,22.6981174,22.20341573,22.65931779,4303200
2011/8/16,22.25967026,22.55649298,21.99970894,22.02880864,4022100
2011/8/17,22.45560265,22.49440445,22.19176279,22.26160249,3972900
2011/8/18,21.28578186,21.64080391,21.02193974,21.62334232,8477100
2011/8/19,21.46232033,22.0113425,21.02387787,21.19265919,7624800
2011/8/22,21.80570793,22.27713106,21.55544652,22.15878962,5085300
2011/8/23,22.31980896,22.31980896,21.46038541,21.86778786,6073500
2011/8/24,22.66318893,22.76019014,21.93762584,22.16266838,4593300
